,0
0,Alaska
1,Arizona
2,Colorado
3,Connecticut
4,Idaho
5,Illinois
6,Iowa
7,Louisiana
8,Maryland
9,Massachusetts
10,Michigan
11,Minnesota
12,Mississippi
13,Missouri
14,Montana
15,Nebraska
16,Nevada
17,New Hampshire
18,New Jersey
19,New Mexico
20,Ohio
